,dividend
1999-11-08,0.1200
2000-02-08,0.1200
2000-05-08,0.1300
2000-08-08,0.1300
2000-11-08,0.1300
2001-02-07,0.1300
2001-05-08,0.1400
2001-08-08,0.1400
2001-11-07,0.1400
2002-02-06,0.1400
2002-05-08,0.1500
2002-08-07,0.1500
2002-11-06,0.1500
2003-02-06,0.1500
2003-05-07,0.1600
2003-08-06,0.1600
2003-11-06,0.1600
2004-02-06,0.1600
2004-05-06,0.1800
2004-08-06,0.1800
2004-11-08,0.1800
2005-02-08,0.1800
2005-05-06,0.2000
2005-08-08,0.2000
2005-11-08,0.2000
2006-02-08,0.2000
2006-05-08,0.3000
2006-08-08,0.3000
2006-11-08,0.3000
2007-02-07,0.3000
2007-05-08,0.4000
2007-08-08,0.4000
2007-11-07,0.4000
2008-02-06,0.4000
2008-05-07,0.5000
2008-08-06,0.5000
2008-11-06,0.5000
2009-02-06,0.5000
2009-05-06,0.5500
2009-08-06,0.5500
2009-11-06,0.5500
2010-02-08,0.5500
2010-05-06,0.6500
2010-08-06,0.6500
2010-11-08,0.6500
2011-02-08,0.6500
2011-05-06,0.7500
2011-08-08,0.7500
2011-11-08,0.7500
2012-02-08,0.7500
2012-05-08,0.8500
2012-08-08,0.8500
2012-11-07,0.8500
2013-02-06,0.8500
2013-05-08,0.9500
2013-08-07,0.9500
2013-11-06,0.9500
2014-02-06,0.9500
2014-05-07,1.1000
2014-08-06,1.1000
2014-11-06,1.1000
2015-02-06,1.1000
2015-05-06,1.3000
2015-08-06,1.3000
2015-11-06,1.3000
2016-02-08,1.3000
2016-05-06,1.4000
2016-08-08,1.4000
2016-11-08,1.4000
2017-02-08,1.4000
2017-05-08,1.5000
2017-08-08,1.5000
2017-11-09,1.5000
2018-02-08,1.5000
2018-05-09,1.5700
2018-08-09,1.5700
2018-11-08,1.5700
2019-02-07,1.5700
2019-05-09,1.6200
2019-08-08,1.6200
2019-11-07,1.6200
2020-02-07,1.6200
2020-05-07,1.6300
2020-08-07,1.6300
2020-11-09,1.6300
2021-02-09,1.6300
2021-05-07,1.6400
