,volume
2021-01-04,5179161
2021-01-05,6114619
2021-01-06,7956740
2021-01-07,4507382
2021-01-08,4676487
2021-01-11,5602466
2021-01-12,3729068
2021-01-13,7677739
2021-01-14,7503180
2021-01-15,4905506
2021-01-19,5397956
2021-01-20,5598705
2021-01-21,12819233
2021-01-22,38063533
2021-01-25,13686391
2021-01-26,10694708
2021-01-27,12146541
2021-01-28,8084051
2021-01-29,11825496
2021-02-01,6250508
2021-02-02,6311881
2021-02-03,6715366
2021-02-04,4562124
2021-02-05,4565727
2021-02-08,5887999
2021-02-09,4661655
2021-02-10,4831858
2021-02-11,5381556
2021-02-12,3871195
2021-02-16,6639790
2021-02-17,3949876
2021-02-18,5399145
2021-02-19,6578741
2021-02-22,5838841
2021-02-23,4531464
2021-02-24,5819983
2021-02-25,5672671
2021-02-26,8868848
